Neighborhood,Id,Income_Estimate,Income_MOE,MOE_Percentage
Allegheny Center,1,39947000.0,6437773.0,16.11578591633915
Allegheny West,2,23793300.0,22025939.0,92.57202237604703
Allentown,3,38303700.0,7490207.043,19.55478724770714
Arlington,4,35349900.0,6140662.723,17.371089375076025
Arlington Heights,5,2389600.0,1162393.0,48.643831603615666
Banksville,6,138084700.0,25839798.58,18.713006278030804
Bedford Dwellings,7,10529100.0,1666825.0,15.830650292997502
Beechview,8,193055900.0,20558893.78,10.649192166621171
Beltzhoover,9,28121300.0,6955896.138,24.735329227311684
Bloomfield,10,249898900.0,17631530.8,7.055465550268529
Bluff,11,11005200.0,3053714.909,27.747927425217174
Bon Air,12,22093100.0,4363955.0,19.752569806862777
Brighton Heights,13,201692800.0,18528009.98,9.186252548430089
Brookline,14,366945900.0,33459110.1,9.118267870004816
California-Kirkbride,15,10718900.0,2850114.0,26.589612740113257
Carrick,16,221221100.0,25358376.69,11.462910495427426
Central Business District,17,210460000.0,38813243.08,18.44209972441319
Central Lawrenceville,18,144917900.0,14971960.03,10.331339351453478
Central Northside,19,96353500.0,14187902.91,14.724844359571785
Central Oakland,20,55528300.0,8248328.467,14.854278749754629
Chartiers City,21,13805200.0,4387080.0,31.778460290325384
Crafton Heights,23,89278600.0,14312490.15,16.031266339301915
Crawford-Roberts,24,34226600.0,7964968.613,23.27128202333857
Duquesne Heights,25,91613300.0,18318437.52,19.9953909748912
East Allegheny,26,56433100.0,9846049.456,17.44729503784127
East Carnegie,27,14945000.0,4062628.0,27.18386082301773
East Hills,28,41528200.0,7871752.465,18.95519782942675
East Liberty,29,115711700.0,16575789.33,14.325076314668268
Elliott,30,43215900.0,8110202.165,18.766708931203564
Esplen,31,5433900.0,2379084.0,43.78225583834815
Fairywood,32,33908400.0,8418356.0,24.826756791827396
Fineview,33,25475500.0,7391478.933,29.014068155678984
Friendship,34,47475400.0,8631431.016,18.1808494841539
Garfield,35,67632800.0,16399392.03,24.247690514070094
Glen Hazel,36,4773300.0,2914988.0,61.06861081432133
Greenfield,37,241377900.0,26174704.08,10.8438693351794
Hays,38,6432200.0,1912520.0,29.733528186312615
Hazelwood,39,75829000.0,13563882.14,17.887460127391897
Highland Park,40,242405400.0,35463932.76,14.630009380979136
Homewood North,41,37727300.0,7125085.724,18.885755736562118
Homewood South,42,29434400.0,4468174.859,15.180111906476776
Homewood West,43,11290000.0,2726332.295,24.1482045615589
Knoxville,44,60537300.0,11423844.9,18.870753898835922
Larimer,45,18139300.0,3363490.759,18.542560953289268
Lincoln Place,46,84551900.0,12450240.87,14.724968770660388
Lincoln-Lemington-Belmar,47,91032900.0,15513365.3,17.04149302065517
Lower Lawrenceville,48,63562900.0,9964615.088,15.676778573664826
Manchester,49,54372200.0,15557377.68,28.612742688359123
Marshall-Shadeland,50,68871800.0,10291350.2,14.942763511335553
Middle Hill,51,27566200.0,5776016.68,20.953256814504716
Morningside,52,87871100.0,11202092.89,12.748324409276771
Mount Oliver Borough,53,61592000.0,18596383.52,30.192855435770877
Mount Washington,54,267100700.0,26611655.18,9.963154413298057
Mt. Oliver,55,13962700.0,3748518.0,26.84665573277375
New Homestead,56,27062600.0,3763271.0,13.905799886189795
North Oakland,57,123408700.0,20564747.34,16.663936448564808
North Shore,58,12397000.0,4415906.0,35.620763087843834
Northview Heights,59,8755000.0,2398522.0,27.396025128498003
Oakwood,60,25014900.0,4076094.0,16.294664380029502
Overbrook,61,90146300.0,10295987.27,11.421419703304517
Perry North,62,104107900.0,12948264.12,12.437350210694866
Perry South,63,54989600.0,8757091.783,15.924996332033695
Point Breeze,64,314958500.0,30291428.03,9.617593438500629
Point Breeze North,65,59572300.0,9198290.554,15.440549641360162
Polish Hill,66,38888900.0,6374407.742,16.39132951047728
Regent Square,67,52288700.0,8704589.0,16.64717042114262
Ridgemont,68,7893900.0,2639357.0,33.435399485678815
Shadyside,69,605635700.0,62416083.58,10.305879191071464
Sheraden,70,101081700.0,11670388.95,11.54550126283986
South Oakland,71,47722300.0,10823398.42,22.679959725327574
South Side Flats,73,233098400.0,31279286.86,13.41891958932365
South Side Slopes,74,123648400.0,18884639.17,15.27285364792428
Spring Garden,75,15833800.0,2941611.233,18.5780496974826
Spring Hill-City View,76,46688500.0,9345349.907,20.01638499202159
Squirrel Hill North,77,577467500.0,66363783.65,11.492211016204374
Squirrel Hill South,78,659886300.0,57908445.45,8.775518668897961
St. Clair,79,3867600.0,1527597.0,39.49728513807012
Stanton Heights,80,134047100.0,15607513.66,11.643305718661576
Strip District,81,91738300.0,37240188.0,40.5939373195274
Summer Hill,82,40337500.0,8808166.0,21.836172296250385
Swisshelm Park,83,43095600.0,4652129.0,10.794904816268946
Terrace Village,84,16879300.0,3672343.904,21.756494072621496
Troy Hill,85,77521600.0,22171205.68,28.600036222162593
Upper Hill,86,39512800.0,12264473.26,31.039241106679356
Upper Lawrenceville,87,65738500.0,16007126.0,24.349697665751425
West End,88,3615800.0,2204875.0,60.978898169146525
West Oakland,89,16339500.0,3412753.172,20.886521448024727
Westwood,90,91857100.0,11304497.08,12.306612205262304
Windgap,91,34609300.0,6432817.1,18.58696101914803
